year,site,density,latitude,longitude 
2010,a-p-38,0.5825,34.072867,-119.870983
2010,a-p-39,0.458695652,34.03065,-119.69665
2010,a-p-42,1.187962963,34.048467,-119.546367
2010,a-p-43,NA,34.047983,-119.5514
2010,a-p-34,0.401449275,34.051483,-119.909667
2010,a-p-35,0.770588235,33.946467,-119.823183
2010,a-p-37,NA,34.0434,-119.535733
2010,a-p-41,NA,34.038367,-119.5253
2010,a-p-44,0.304166667,33.983617,-119.6384
2010,a-p-45,0.292592593,33.988533,-119.546983
2010,a-p-47,0.376388889,34.015867,-120.3305
2010,a-p-48,0.528472222,34.051717,-120.346183
2010,a-p-50,0.596527778,34.052783,-120.337383
2010,a-p-52,0.314492754,34.025467,-120.4067
2010,a-p-60,0.216666667,33.897433,-120.100383
2010,a-p-64,0.337301587,33.891567,-120.1192
2010,a-p-32,1.177777778,34.054283,-119.566867
2010,a-p-40,NA,34.050983,-119.575883
2010,a-p-57,0.05,33.931667,-120.197417
2010,a-p-65,NA,33.90725,-120.153
2010,a-l-01,0.275,34.400275,-119.7445917
2010,a-l-02,0.81875,34.47181667,-120.1426167
2010,a-l-03,0.44375,34.46782143,-120.1192428
2010,a-l-04,0.214583333,34.45849992,-120.3334874
2010,a-l-05,0.172098214,34.39167778,-119.54175
2010,a-l-06,0.1375,34.41371667,-119.8221
2010,a-l-07,0.04375,34.40469558,-119.8644769
2010,a-l-08,0.38125,34.39410555,-119.7296222
2010,a-l-09,1.2328125,34.42210741,-119.9517074
2010,a-l-10,0.825,34.0588,-119.7575
2010,a-l-11,2.29375,34.0445,-119.7155
2010,a-k-21,0.054,34.0237,-120.3951667
2010,a-p-18,0.203472222,34.40295,-119.8645167
2010,a-p-09,0.543055556,34.46628333,-120.1169667
2010,a-p-10,0.613888889,34.45543333,-120.33205
2010,a-p-17,0.16875,34.38945,-119.5447667
2011,a-s-01,0.0256,33.26233333,-119.5801667
2011,a-s-02,0.2732,33.27325,-119.48615
2011,a-s-03,0.344363636,33.24763333,-119.5703833
2011,a-s-04,0.4894,33.21665,-119.4854167
2011,a-s-05,0.1792,33.21688333,-119.4441167
2011,a-k-01,0.3475,34.02236667,-120.3874667
2011,a-k-02,0.0825,34.06438333,-120.3566
2011,a-k-03,0.09,33.90146667,-120.1029667
2011,a-k-04,0.2555,33.89753333,-120.10075
2011,a-k-05,0.089,34.03261667,-120.107
2011,a-k-06,0.209,33.94966667,-119.8275833
2011,a-k-07,0.341,34.05635,-119.75515
2011,a-k-08,0.1835,34.0345,-119.7033333
2011,a-k-09,0.2115,34.04798333,-119.5514
2011,a-k-10,0.2435,33.98983333,-119.5630667
2011,a-k-11,0.5415,34.00775,-119.4343833
2011,a-k-12,0.17,34.01586667,-119.3717333
2011,a-k-13,0.2365,34.01666667,-119.3616667
2011,a-k-14,0.0725,33.46611667,-119.0277833
2011,a-k-15,0.221,33.48753333,-119.0275833
2011,a-k-16,0.1355,33.46441667,-119.0391667
