site_id,year,month,biomass_kg
a-p-47,2007,4,1519721
a-p-47,2007,5,2936576
a-p-47,2007,6,4319069
a-p-47,2007,7,NA
a-p-47,2007,8,NA
a-p-47,2007,9,150928
a-p-47,2007,10,0
a-p-47,2007,11,0
a-p-47,2007,12,0
a-p-47,2008,1,NA
a-p-47,2008,2,0
a-p-47,2008,3,22779
a-p-47,2008,4,426252
a-p-47,2008,5,2102195
a-p-47,2008,6,4687456
a-p-47,2008,7,6191626
a-p-47,2008,8,NA
a-p-47,2008,9,5813037
a-p-47,2008,10,4935935
a-p-47,2008,11,3848783
a-p-47,2008,12,NA
a-p-47,2009,1,1813710
a-p-47,2009,2,690123
a-p-47,2009,3,369467
a-p-47,2009,4,477967
a-p-47,2009,5,NA
a-p-47,2009,6,2594737
a-p-47,2009,7,2858227
a-p-47,2009,8,1472686
a-p-47,2009,9,412618
a-p-47,2009,10,146644
a-p-47,2009,11,73077
a-p-47,2009,12,NA
a-p-47,2010,1,NA
a-p-47,2010,2,NA
a-p-47,2010,3,16789
a-p-47,2010,4,NA
a-p-47,2010,5,2045676
a-p-47,2010,6,NA
a-p-47,2010,7,7895295
a-p-47,2010,8,6560287
a-p-47,2010,9,NA
a-p-47,2010,10,NA
a-p-47,2010,11,1173409
a-p-47,2010,12,64880
a-p-47,2011,1,0
a-p-47,2011,2,0
a-p-47,2011,3,32203
a-p-47,2011,4,132373
a-p-47,2011,5,342220
a-p-47,2011,6,NA
a-p-47,2011,7,1369171
a-p-47,2011,8,1500230
a-p-47,2011,9,728244
a-p-47,2011,10,895801
a-p-47,2011,11,1183409
a-p-47,2011,12,773908
a-p-47,2012,1,1014669
a-p-47,2012,2,334542
a-p-47,2012,3,NA
a-p-47,2012,4,29047
a-p-47,2012,5,1125408
a-p-47,2012,6,2151436
a-p-47,2012,7,NA
a-p-47,2012,8,1859290
a-p-47,2012,9,160286
a-p-47,2012,10,7217
a-p-47,2012,11,NA
a-p-47,2012,12,114178
a-p-47,2013,1,217420
a-p-47,2013,2,1507858
a-p-47,2013,3,1802904
a-p-47,2013,4,4957206
a-p-47,2013,5,6160326
a-p-47,2013,6,4673973
a-p-47,2013,7,5164433
a-p-47,2013,8,NA
a-p-47,2013,9,981208
a-p-47,2013,10,761132
a-p-47,2013,11,28065
a-p-47,2013,12,0
a-p-47,2014,1,0
a-p-47,2014,2,NA
a-p-47,2014,3,0
a-p-47,2014,4,NA
a-p-47,2014,5,575659
a-p-47,2014,6,NA
a-p-47,2014,7,NA
a-p-47,2014,8,NA
a-p-47,2014,9,NA
a-p-47,2014,10,0
a-p-47,2014,11,0
a-p-47,2014,12,6149
a-p-48,2004,1,59113.5
a-p-48,2004,2,39933
a-p-48,2004,3,NA
a-p-48,2004,4,108987.5
a-p-48,2004,5,172064
a-p-48,2004,6,379700
a-p-48,2004,7,NA
a-p-48,2004,8,280895
a-p-48,2004,9,184889
a-p-48,2004,10,0
a-p-48,2004,11,7230.5
a-p-48,2004,12,11853.5
a-p-48,2005,1,32734.5
a-p-48,2005,2,23789
a-p-48,2005,3,NA
a-p-48,2005,4,15152
a-p-48,2005,5,214262.5
a-p-48,2005,6,483469
a-p-48,2005,7,NA
a-p-48,2005,8,648175
a-p-48,2005,9,471937
a-p-48,2005,10,290709
a-p-48,2005,11,171766.5
a-p-48,2005,12,135230.5
a-p-48,2006,1,22981
a-p-48,2006,2,NA
a-p-48,2006,3,1457.5
a-p-48,2006,4,0
a-p-48,2006,5,52325.5
a-p-48,2006,6,NA
a-p-48,2006,7,NA
a-p-48,2006,8,NA
a-p-48,2006,9,NA
a-p-48,2006,10,9757.5
a-p-48,2006,11,2583.5
a-p-48,2006,12,15631.5
a-p-48,2007,1,0
a-p-48,2007,2,13044.5
a-p-48,2007,3,5929
a-p-48,2007,4,120853
a-p-48,2007,5,317445.5
a-p-48,2007,6,NA
a-p-48,2007,7,NA
a-p-48,2007,8,NA
a-p-48,2007,9,438128
a-p-48,2007,10,0
a-p-48,2007,11,0
a-p-48,2007,12,0
a-p-48,2008,1,NA
a-p-48,2008,2,0
a-p-48,2008,3,0
a-p-48,2008,4,14737.5
a-p-48,2008,5,79572
a-p-48,2008,6,NA
a-p-48,2008,7,178802.5
a-p-48,2008,8,NA
a-p-48,2008,9,137175
a-p-48,2008,10,67492.5
a-p-48,2008,11,23245
a-p-48,2008,12,NA
a-p-48,2009,1,0
a-p-48,2009,2,0
a-p-48,2009,3,0
a-p-48,2009,4,11064
a-p-48,2009,5,NA
a-p-48,2009,6,NA
a-p-48,2009,7,279447.5
a-p-48,2009,8,153480
a-p-48,2009,9,30786.5
a-p-48,2009,10,0
a-p-48,2009,11,0
a-p-48,2009,12,NA
a-p-48,2010,1,0
a-p-48,2010,2,NA
a-p-48,2010,3,0
a-p-48,2010,4,NA
a-p-48,2010,5,13859.5
a-p-48,2010,6,NA
a-p-48,2010,7,NA
a-p-48,2010,8,NA
a-p-48,2010,9,NA
a-p-48,2010,10,NA
a-p-48,2010,11,0
a-p-48,2010,12,0
a-p-48,2011,1,0
a-p-48,2011,2,0
a-p-48,2011,3,0
a-p-48,2011,4,0
a-p-48,2011,5,2231
a-p-48,2011,6,NA
a-p-48,2011,7,168791.5
a-p-48,2011,8,186279
a-p-48,2011,9,151905.5
a-p-48,2011,10,84464.5
a-p-48,2011,11,17634.5
a-p-48,2011,12,0
a-p-48,2012,1,19707
a-p-48,2012,2,2853
a-p-48,2012,3,NA
a-p-48,2012,4,29561.5
a-p-48,2012,5,114069.5
a-p-48,2012,6,214525
a-p-48,2012,7,NA
a-p-48,2012,8,NA
a-p-48,2012,9,0
a-p-48,2012,10,0
a-p-48,2012,11,NA
a-p-48,2012,12,1363.5
a-p-48,2013,1,0
a-p-48,2013,2,0
a-p-48,2013,3,0
a-p-48,2013,4,58804
a-p-48,2013,5,186011.5
a-p-48,2013,6,402979
a-p-48,2013,7,NA
a-p-48,2013,8,NA
a-p-48,2013,9,253085
a-p-48,2013,10,75649
a-p-48,2013,11,11938.5
a-p-48,2013,12,5927
a-p-48,2014,1,0
a-p-48,2014,2,0
a-p-48,2014,3,1411.5
a-p-48,2014,4,NA
a-p-48,2014,5,72679.5
